Degree,XCoordinate,YCoordinate,,Degree,XCoordinate,YCoordinate,,,,,,
31.86,81.89240052,50.86224603,,31.86,71.02257798,44.11114844,,10.86982253,6.751097591,,12.79571649,1.015016327
32.04,80.73682109,50.49652516,,32.04,70.88371908,44.33394151,,9.853102014,6.162583652,,11.6215772,1.011876327
32.22,80.57786425,50.74978942,,32.22,70.74416129,44.55629746,,9.83370296,6.193491961,,11.6215772,1.008736327
32.4,80.41811294,51.00255331,,32.4,70.60390599,44.77821411,,9.814206949,6.224339205,,11.6215772,1.005596327
32.58,80.25756874,51.25481434,,32.58,70.46295457,44.99968926,,9.794614174,6.255125079,,11.6215772,1.002456327
32.76,80.09623323,51.50657002,,32.76,70.32130841,45.22072074,,9.774924828,6.285849281,,11.6215772,0.999316327
32.94,79.93410801,51.75781786,,32.94,70.17896891,45.44130635,,9.755139105,6.316511506,,11.6215772,0.996176327
33.12,79.77119467,52.00855539,,33.12,64.6432587,42.1455704,,15.12793597,9.862984992,,18.05915058,0.993036327
33.3,79.60749482,52.25878014,,33.3,64.51060315,42.34834213,,15.09689167,9.91043801,,18.05915058,0.989896327
33.48,79.44301007,52.50848964,,33.48,64.37731155,42.55069632,,15.06569852,9.957793316,,18.05915058,0.986756327
33.66,70.85275966,47.15103162,,33.66,64.24338522,42.75263098,,6.609374438,4.398400636,,7.939128328,0.983616327
33.84,70.70435637,47.37327647,,33.84,64.10882547,42.95414412,,6.5955309,4.419132354,,7.939128328,0.980476327
34.02,70.55525597,47.59505424,,34.02,63.97363364,43.15523374,,6.581622333,4.439820502,,7.939128328,0.977336327
34.2,70.40545992,47.81636275,,34.2,62.81659955,42.66233492,,7.588860367,5.154027835,,9.173592785,0.974196327
34.38,70.2549697,48.03719981,,34.38,62.3462394,42.62956446,,7.908730301,5.40763535,,9.58073771,0.971056327
34.56,70.1037868,48.25756324,,34.56,58.92617344,40.56319453,,11.17761336,7.694368709,,13.56990605,0.967916327
34.74,69.9519127,48.47745086,,34.74,58.79851473,40.74802244,,11.15339798,7.729428425,,13.56990605,0.964776327
34.92,69.79934891,48.69686053,,34.92,58.67027628,40.93244859,,11.12907263,7.764411933,,13.56990605,0.961636327
35.1,69.64609692,48.91579005,,35.1,57.84332501,40.62613796,,11.80277192,8.289652094,,14.4230287,0.958496327
35.28,69.49215825,49.13423729,,35.28,57.71547399,40.80756542,,11.77668427,8.32667187,,14.4230287,0.955356327
35.46,69.33753442,49.35220009,,35.46,57.24216624,40.74311072,,12.09536818,8.609089373,,14.84635818,0.952216327
35.64,63.42705,45.44604121,,35.64,57.11395089,40.92264997,,6.313099111,4.52339124,,7.766356205,0.949076327
35.82,63.28403698,45.64497778,,35.82,56.35060835,40.64409271,,6.933428633,5.000885073,,8.548759215,0.945936327
36,63.14040001,45.84346431,,36,56.22270831,40.82083296,,6.917691699,5.02263135,,8.548759215,0.942796327
