Degree,XCoordinate,YCoordinate,,Degree,XCoordinate,YCoordinate,,,,,,
36,119.9306845,87.07638934,,36,55.83899755,40.54223747,,64.09168695,46.53415187,,79.20335616,0.942796327
36.18,119.9821697,87.69043442,,36.18,55.71141986,40.71737177,,64.27074984,46.97306265,,79.6065192,0.939656327
36.36,120.0391082,88.31164038,,36.36,55.91885364,41.1389735,,64.12025456,47.17266688,,79.60318804,0.936516327
36.54,119.7612184,88.68812721,,36.54,56.12602442,41.56363855,,63.63519398,47.12448866,,79.18431249,0.933376327
36.72,119.4821477,89.0637396,,36.72,55.99523812,41.73966908,,63.48690958,47.32407052,,79.18431245,0.930236327
36.9,119.201899,89.43847386,,36.9,55.86389973,41.91528807,,63.33799927,47.52318579,,79.18431246,0.927096327
37.08,119.2511185,90.06203823,,37.08,55.73201054,42.09049379,,63.51910796,47.97154444,,79.59865672,0.923956327
37.26,118.9677363,90.43604214,,37.26,55.91593853,42.50577787,,63.05179777,47.93026427,,79.20125905,0.920816327
37.44,118.6831811,90.80915439,,37.44,56.11476601,42.93560724,,62.56841509,47.87354715,,78.78250493,0.917676327
37.62,118.3974558,91.18137129,,37.62,55.97967179,43.11159565,,62.41778401,48.06977564,,78.78250498,0.914536327
37.8,118.110563,91.55268919,,37.8,55.84402563,43.287159,,62.26653737,48.26553019,,78.78250491,0.911396326
37.98,117.8225058,91.92310441,,37.98,56.0212499,43.70682128,,61.8012559,48.21628313,,78.38498064,0.908256327
38.16,117.2074064,92.03671673,,38.16,55.88373453,43.88251225,,61.32367187,48.15420448,,77.9706364,0.905116327
38.34,116.9178337,92.40429366,,38.34,55.74566818,44.05777055,,61.17216552,48.34652311,,77.97063634,0.901976326
38.52,116.6271084,92.77095952,,38.52,55.60705219,44.23259447,,61.02005621,48.53836505,,77.97063641,0.898836327
38.7,116.3352331,93.1367107,,38.7,55.46788794,44.40698227,,60.86734516,48.72972843,,77.97063639,0.895696327
38.88,115.7204169,93.24225672,,38.88,55.98185344,45.10763518,,59.73856346,48.13462154,,76.71791026,0.892556327
39.06,115.4270662,93.60515857,,39.06,55.83993972,45.28319554,,59.58712648,48.32196303,,76.71791025,0.889416326
39.24,114.8132681,93.70652845,,39.24,55.69747544,45.45830943,,59.11579266,48.24821902,,76.30575064,0.886276327
39.42,116.0936033,95.36041425,,39.42,55.55446201,45.63297512,,60.53914129,49.72743913,,78.34414994,0.883136327
39.6,115.7935998,95.72447746,,39.6,55.73691823,46.07670358,,60.05668157,49.64777388,,77.92115536,0.879996327
39.78,115.4924546,96.08759686,,39.78,55.59196285,46.25149006,,59.90049175,49.8361068,,77.92115536,0.876856327
39.96,115.1901707,96.44976888,,39.96,55.44645935,46.42582053,,59.74371135,50.02394835,,77.92115537,0.873716327
40.14,114.886751,96.81098995,,40.14,55.6254966,46.8736329,,59.2612544,49.93735705,,77.49603798,0.870576327
40.32,114.8956636,97.43708994,,40.32,55.47803941,47.04806559,,59.41762419,50.38902435,,77.90704615,0.867436327
40.5,114.5891452,97.79738138,,40.5,55.33003523,47.22203441,,59.25910997,50.57534697,,77.90704612,0.864296327
40.68,114.281497,98.15670858,,40.68,55.18148552,47.39553764,,59.10001148,50.76117094,,77.9070461,0.861156327
40.86,113.9727221,98.515068,,40.86,55.3555909,47.84793855,,58.6171312,50.66712945,,77.47984304,0.858016327
41.04,113.352722,98.60270661,,41.04,55.20507573,48.02151893,,58.14764627,50.58118768,,77.06883491,0.854876327
41.22,113.0425512,98.95814748,,41.22,55.05401625,48.19462585,,57.98853495,50.76352163,,77.06883491,0.851736327
41.4,112.7312658,99.31261267,,41.4,54.90241397,48.36725759,,57.82885183,50.94535508,,77.06883487,0.848596326
41.58,112.1121434,99.39416797,,41.58,54.75027038,48.53941244,,57.36187302,50.85475553,,76.65892405,0.845456326
41.76,111.4944489,99.47355359,,41.76,55.47271484,49.49186373,,56.02173406,49.98168986,,75.0773202,0.842316327
41.94,111.1815528,99.8231552,,41.94,55.31703717,49.66580378,,55.86451563,50.15735142,,75.0773202,0.839176327
